店铺名称,类别,评分,所在区,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
意家之煮海鲜肥牛自助火锅(里水直营店),火锅自助,3,南海,里水,23.19602,113.157211,南海区夏塘街新天地广场晋盈酒店隔壁（大乐购百货或晋盈会旁）,单人午/晚餐33元;,周一至周日 11:00-03:00,0757-81032225,82466,意家之煮位于里水黄金地新天地广场，以口感地道、口味醇正、鲜香厚道、食而不火、清心爽口、回味绵长而著称，能让广大消费者真正品尝到清爽鲜美的火锅，让您寻味而来，满意而去。,"鸳鸯锅底,肥牛,鱼丸,自助火锅,牛肉,自助晚餐,宽粉配芝麻酱,濑尿虾,西洋菜,麻辣锅,小黄鱼,蛋挞,贝壳,鲜肥牛,炒饭,螃蟹,素菜,鱿鱼,青菜,可乐,肠粉,点心,猪脑,香菇金针菇,炒粉,虾子,菌汤,凉拌菜,白贝,肥牛肉片,春卷,果汁,巧克力冰淇淋,油条,生蚝,羊肉,肉丸子,炒螺,肥羊,雪糕,麻辣锅底,羊肉牛肉,牛腩冬瓜煲,包子,猪脑。你们自己感受一下,花生米,麻辣烫,蛤蜊,香蕉,牛羊肉,涮羊肉,和羊肉,骨肉相连,牛肉卷,花菜,肥牛肉,米饭,白饭,牛肉丸,茶位,以菜谱为准,凉茶,豆浆,牛排,寿司,菊花茶,羊肉片,豆腐丸子,肥羊肉,鱼肉,沙拉,橙汁,花甲,羊肉卷,鸳鸯火锅,肥牛卷,王老吉,猪肉,火锅菜,巧克力,圣女果哈密瓜"
万岁寿司·料理(黄岐店),日式寿司,3.3,南海,嘉洲广场,23.10916,113.18891,南海区大沥黄岐广佛一路98号嘉洲广场3楼（近南海美大集成灶）,88代100元;,周一至周日 10:00-22:00,0757-85950117/81113326,79255,,"三文鱼刺身,三文鱼寿司,烧三文鱼边腩,盐烧三文鱼头,北极贝刺身,炭烧鳗鱼,海胆,鳗鱼寿司,泡菜乌冬,叉烧拉面,鳗鱼,碳烧鱼皮寿司,北极贝,深海三文鱼刺身,杂菜沙律,牛肉粒石烧饭,海鲜焗饭,棒棒虾,日式炸豆腐,泡菜肥牛火锅,三文鱼鱼腩,玄米茶,芝士焗帆立贝,牛肉炒饭,三文鱼头,五色刺身,旋转寿司,石锅饭,刺身,三文鱼拼盘,大虾天妇罗,芝士焗三文鱼,海鲜饭,三文鱼焗饭,特价三文鱼骨,皇牌寿司拼盘,烧鱼骨,芝士三文鱼,火焰蟹棒,榴莲焗卷,泡菜炒面,糥米糍,蟹肉棒,乌冬面,特价三文鱼刺身,蟹棒寿司,芒果吞拿鱼寿司,鹅肝寿司,芝士卷,熟扇贝,寿司饭,海鲜烧饼,咖喱鳗鱼饭,三文鱼焗卷,比目鱼,希鲮鱼寿司,榴莲pizza,三文鱼刺生,黑椒,吞拿鱼沙律,海鲜石锅饭,蔬菜沙律,刺身三文鱼,肥牛金针菇,芝士鳗鱼寿司,寿司饭团,水果批萨,蟹籽沙律,鱼骨,八抓鱼军舰,吞拿鱼寿司,鲭鱼盐烧,火烧三文鱼,寿司卷,三文鱼皮寿司,烧多春鱼,牛肉饭,招牌鳗鱼饭,熟扇贝寿司,蟹籽寿司,青瓜蟹子沙律,一口芝士,豚骨拉面,三文魚,年糕火锅,榴莲披萨,鸡翅,榴莲卷,滑鸡饭,芒果沙拉,蟑螂赤贝,鱼生饭,日式饺子,串烧拼盘,三文鱼刺身三文鱼,三文鱼寿司烧三文鱼边腩,秘制酱焗帆立贝,墨鱼仔,特级前菜拼盘,海鲜乌冬,带子裙边,三纹鱼刺身,芒果虾沙拉,鹅肝饭,生鱼片,海胆刺身,曼鱼寿司,三文鱼腩寿司,海鲜芝士焗饭,月见肥牛乌冬,明太子鸡翅,三文鱼赤身,麻婆豆腐,炙烧虾寿司,木鱼丝饼,蟹子炒饭,红蟹子黑蟹子寿司,碳烧鳗鱼,三文鱼皮,三文鱼刺身拼盘,火焰三文鱼"
一根筋桂林米粉,米粉,4.3,顺德,容桂,22.761171,113.27289,顺德区振华路322号,10.8元美味单人餐，12.8元美味单人餐，14.8元美味单人餐，26.8元美味双人餐;,,0757-29377295,75984,,"桂林米粉,猪脚,酸豆角,卤水鸡腿,正宗桂林米粉,鸡翅膀,卤猪脚,干捞桂林米粉,甜豆浆,卤水鸡翅,味道很不错,维他奶,猪蹄粉,卤水猪脚,卤鸡腿,猪蹄套餐,大骨头,酸辣粉螺丝粉,鸡翅,招牌粉,酸辣粉,特色小吃,一根筋桂林米粉,麻辣烫,干捞面,叉烧肉,粉,干捞粉,烤猪肉,凉拌桂林米粉,大鸡腿,萝卜干,招牌桂林米粉,卤猪手,二两加鸡腿,过桥米线,豆浆"
雅达利超级牛扒(印象城店),西餐,4,禅城,印象城,23.011276,113.12227,禅城区季华五路36号印象城2楼,单人餐68元，双人餐149.9元起，3人餐188.9元;,周一至周日 10:30-22:00,0757-83386986,73149,雅达利超级牛扒：Since 1986年，原名“雅达利咖啡酒廊”，提供商务、休闲、舒适的就餐环境，以连锁经营模式，以创新为主体，以品质为后盾，不断地开拓，发掘新的异国餐饮文化。目前全城首推果木烧牛扒，更显朝气蓬勃，引领美食新时尚，是商务洽谈、家庭聚会、招朋待友的优质场所。,"牛扒,果木烧安格斯肉眼,果木厚烧牛冧扒,海鲜焗饭,嫩牛排,芝士焗意粉,牛小排,精品牛扒,芝士焗菠菜薯泥,椰汁红豆布丁,果木烧厚烧安格斯,石烧黑椒牛爽筋饭,葡式炒杂菜,猪肋条,乳酪杂菜焗薯泥,牛筋石锅饭,杏仁茶,澳洲雪花牛小排,三角肥牛,粟米忌廉汤,野菌忌廉汤,果木烧猪肉眼,香芒三文鱼,果木烧特爽梅花猪,泰式咖喱海鲜焗饭,美式乳酪杂菜焗薯泥,海鲜野菌汤,椰汁布丁,马来西亚猪扒焗饭,点击进入更多，，,葡国海鲜汤饭,柠檬慕斯蛋糕,栗米忌廉汤,果木烧羊仔腿,野菌汤,羊腿扒,羊仔腿,杂菜,果木烧美式黑椒猪肋条,柠檬幕斯,安格斯牛扒,玉米忌廉汤,嫩牛扒,果木嫩牛扒,柠檬茶,精选牛扒,玉米忌廉湯,果木烧特爽猪肉眼,紅棗茶,肉酱意粉,水果沙拉,甜品,芒果慕斯蛋糕,小面包,果木烧羊仔腿扒,果木烧纽西兰嫩牛扒,果木烧嫩牛扒,鳗鱼芝麻卷,儿童套餐,西冷牛扒,羊扒,芝士丸肉酱意粉,桂圆红枣茶,果木特爽猪肉眼扒,奶香紫薯吉利鱼柳焗饭,洋葱汁配猪肉眼,芝士薯茸焗菠菜,果木烧澳洲雪花牛小排,榴莲绵绵冰,西冷扒,日式芝士,石鍋飯,炸醬拉麵,紫薯三文鱼焗饭,椰汁三味水晶冻,鲜水果捞,猪扒,果木烧超爽猪扒,椰汁芒果红豆布丁,芒果慕斯,牛仔排,爽牛筋焗饭,酥皮周大打鱼汤,tea,菠菜野菌汤,日本芝士蛋糕,蘑菇汤,三文鱼寿司,姜蜜茶,意粉,水果面包干,小蛋糕,西冷,日式芝士,柠檬慕斯,榄菜牛肉炒饭,儿童,鳗鱼卷,南瓜汤,水果沙拉面包,牛仔腿,泡菜炒饭,牛扒猪扒,蘑菇奶油汤,烤面包,蛋炒饭,牛排很嫩,水果沙律,柠檬蛋糕,牛扒焗饭,三文鱼芒果卷,茄汁牛排饭,餐前水果,什锦杂菜,檸檬茶,芝士香芋,香浓芝士,蒜蓉菜心,蒜蓉包,乌冬面,嫩牛肉,椰汁芒果爽,鱼柳饭,南瓜忌廉汤,羊小腿,羊排肉,水果沙拉蒜香面包片,意大利面,肋条肉,7分熟牛扒,肉末酱意面,芒果三文鱼寿司,蒜香法包,牛排肉,蔬菜沙拉,黑椒牛肉饭,芝士汁海鲜长寿面,肥牛面,茄茸意粉,玉米粒,法国原装红葡萄酒,咖啡,肉酱意面,蒜香包,鲜肉馅饼,哈密瓜,巧克力,火龙果,果木烤羊排,虾仁炒饭,蒜蓉面包,石窝饭,沙拉水果蛋糕,切件蛋糕,面包片,秋葵,小番茄,橘子,南瓜牛肉焗饭,炸雪糕,水果饮料,南瓜焗饭,小馒头,酸辣粉,粟米汤,切片蛋糕,海鲜杂菜焗薯泥,意大利咖啡,柑桔蜜茶,忌廉蘑菇汤,冰奶茶,轻芝士蛋糕,海鲜意面,培根肉,牛肉粒榄菜炒饭,牛排羊排,拿波里培根芝士丸橄榄意粉,咖啡芝士焗牛扒饭,台式爽肠培根焗芝士橄榄意粉,牛排套餐,私房紫旋奶昔,芝士南瓜焗饭,鲜菌杂菜焗薯泥,羊腿排,奶香三文鱼焗菠菜面,水果面包片,招牌烧仙草,芝士饭,蒜香法棍,蒜香面包,小食拼盘,小吃拼盘,肉眼排,石锅饭牛肉粒,小圆面包,自选沙拉,鸡肉焗饭,超级牛扒,南瓜焗飯,牛肉乌冬面,热奶茶,鳗鱼寿司,酸奶慕斯,果木牛肋条,普通咖啡,芝士慕斯,冰红茶,牛肋条,海鲜炒饭,牛排饭,慕斯蛋糕,水果蔬菜沙拉,烤鸡翅,牛扒套餐,厚切西冷,冻奶茶,果木牛小排,切块蛋糕"
营地BBQ自助烤肉,烧烤,4.7,三水,三水广场,23.172331,112.892437,三水区张边路9号三水广场二期3楼,其他43.9元，单人午/晚餐46.9元;,周一至周日 10:00-22:00,0757-87765088,72286,,"好,冰激凌,肥牛,饮料,生蚝,烤肉火锅,烤培根,鸳鸯锅,培根,秋刀鱼,铁板烧,水果沙拉,鸡胸脯肉,橙汁,蔬菜,火锅汤,麻辣烫,羊肉,鸡翼,熟食,地瓜丸,麻辣锅,玉米,海鲜锅,鸡翅膀,鲜榨橙汁,牛肉卷,炒粉,炒饭,濑尿虾,烤鱿鱼,豆腐,豆浆,鱼片,小点心,柠檬水,芒果,蟹柳,生菜,翅中,抹茶饼,童子鸡,汤,培根肉,不错。,涮肉,。,菜品，很少！,蟹,中翅,七喜,草莓,巧克力,肥牛肥羊卷,蟹子,可乐,黄金小馒头,菊花茶,冬瓜茶,龟苓膏,酸梅汁,炒面炒饭,小海鲜,炒鸡,芒果汁,火龙果哈密瓜,烤鱿鱼须,牛肉丸,三鲜锅,羊肉卷,八爪鱼,可口可乐,鱿鱼虾,米饭"
千层果道(祖庙飞鸿天地店),蛋糕,3.5,禅城,岭南天地,23.030077,113.113537,禅城区祖庙路佛山图书馆旁飞鸿步行街101号铺（岭南天地哈根达斯斜对面路口直入50米）,9.5元千层蛋糕2选1，12元芒果盛宴甜品，17.8元饮品蛋糕套餐，29.6元蛋糕2选1，芒果千层蛋糕55元，芒果芝士蛋糕58元，榴莲芝士蛋糕68元，【免费配送】1.5磅芒果千层蛋糕85元，1.5磅鲜果榴莲原味蛋糕88元，榴莲千层蛋糕89元，芒果千层蛋糕93元，8寸2磅芒果芝士蛋糕98元，【免费配送】1.5磅榴莲千层蛋糕99元，榴莲千层蛋糕108元，勿忘我榴芒双拼蛋糕109元，四季缤纷蛋糕118元...;9代10元;,周一至周日 10:00-23:00,18125776610/18681415885,71749,果道位于祖庙飞鸿天地，是一间以“享受绿色健康食品、引导休闲时尚消费”为主题，本着健康、简约的饮食经营理念的饮品店。以精选的食材，优质的工艺带给您最美妙的口感体验。,"榴莲千层,芒果汁,芒果千层,榴莲千层蛋糕,榴莲肉,芒果粒粒爽,粒粒芒果凉粉捞,粒粒火龙果凉粉捞,红豆凉粉捞,柚子热饮,榴莲果肉,蓝莓芝士,芒果椰奶,榴莲班戟,芒果芝士榴莲,千层糕,一口香,千层饼,芒果和榴莲,鲜果汁,奇异果,西瓜汁,红枣热饮,千层榴莲蛋糕,芒果千层蛋糕,猫山王,鲜果榴莲千层,千层蛋糕,榴莲干层,榴蓮蛋糕,草莓帅锅,芒果帅锅,榴莲芒果千层,榴莲味蛋糕,三鲜锅,酸奶芝士蛋糕,榴莲薄饼,特色蛋糕,榴莲糯米糍,芒椰爽,杨枝甘露,芒果椰爽,芒果冰,柠檬茶,水果罐头,大杂烩,芝士芒果蛋糕,水果西米露,芒果芝士,巧克力酱"
东灶鱼头火锅(创意产业园店),火锅,3.6,禅城,创意产业园,23.013895,113.099667,禅城区季华四路33号（创意产业园8号楼1楼）,85代100元;,10:00-21:30,0757-82781777,70723,东灶鱼头火锅，是餐饮界一个颇具特色的“都市健康饮食”火锅品牌。在发展国内市场的前提下，同时大力开拓国际市场，在“弘扬中华饮食文化，打造鱼头火锅品牌”的征程中，东灶鱼头火锅期待与你携手并肩同行，共同将“东灶”这块美食品牌打造成餐饮界的知名品牌。(美团网摄影师：芦韵仪）,"鱼头,红白鸳鸯锅底,肥羊,鹅肠,肥牛,火锅鱼头汤,酱爆牛肉丸,手工拉面,红白鸳鸯锅,花茶,金针菇,功夫茶,火龙果桂花糕,锅底,黄花菜,土豆,不错,手工水饺,南瓜饼,酸菜鱼,凉粉,招牌鱼头,手工猪肉丸,鸳鸯锅,煎饺,夫妻肺片,芋头,冰菜,火锅汤底,手打牛肉丸,鱼嘴,酸菜锅底,饺子,猪腰,鸭肠,牛百叶,豆干,麻辣锅,拌菜,酥肉,白萝卜,鱼头豆腐汤,拉茶,包心牛肉丸,蘸酱,手磨豆腐,西瓜,绿茶薄餐,泡椒鱼皮,牛肉片,手打肉丸,养生茶,鱼三宝,鱼肉,芹菜,鱼头煲,丸子,苕粉,麻辣火锅,泥鳅,羊肉,紫薯布丁,猪脑花,鱼头鱼嘴,煎包,金银馒头,包子,春卷,爆米花,白饭,魚頭,春饼,锅底料,涮菜,凉皮,无骨鸡爪,酸菜鱼头火锅,水饺子,胖头鱼鱼头,米饭,特色火锅,炒鸡,麻辣汤底,牛肉丸子,金钱肚,酸汤,骨头,特色鱼头,土豆片,猪耳,蔬菜,鳄鱼,牛毛肚,黄瓜,鲜牛肉,黄牛肉,猪肉丸,大鱼头,大可乐,自制豆腐,可口可乐,肥牛肥羊,鲜豆皮,酸菜汤底,炒饭,水豆腐,小米糕,肉包,杂菇,油麦菜,白菜,鸳鸯汤底,羊肚,粉丝,杂菜,脆皮肠,油碟,带子,午餐肉,麻辣鱼头,自制魔芋,辣萝卜,凉拌牛肉,粉肠,鱼脆白,鱼头和牛,鸳鸯火锅,滋补清汤,鸡肾,臭豆腐,山药,馒头,鱼肚,红酒"
嘉信康年花园酒店,海鲜自助,3.9,顺德,大良,22.796415,113.288982,顺德区新城区兴顺路嘉信城市广场一期,单人午餐81.8元，单人晚餐168元;,周一至周日 11:00-20:59,0757-28988888/22806300,70362,到过嘉信康年酒店花园吃过自助餐的朋友都会有这样的体会！这里的自助餐以品质见绝！这里没有四海一家的庞大阵容，但这里有可以媲美五星级酒店的精致美食，每一道提供的菜品都融入了这个精髓，把这个“精致”发挥的淋漓尽致。 顺德嘉信康年花园酒店——康年国际酒店集团与顺德嘉信置业发展有限公司联合致力打造的国际高档休闲商务酒店。 酒店地处佛山市顺德新城区CBD地段，毗邻区政府、顺德会展中心、105国道、广珠轻轨、顺德港码头、新白云机场候机楼，交通便利，距广州市区仅30分钟车程，瞬间直通粤港澳。周边有史努比缤纷世界主题公园、大良新城区大型商业广场、顺德清晖园、宝林寺、李小龙乐园等著名旅游景点。 酒店拥有300多间设计高雅、宽敞舒适的豪华客房及商务套房，别致的客房露台及空中花园景观，让您尽情享受都市中的宁静，国际直拨长途电话、50个自选电视节目、高速宽带上网、迷你音响、42寸液晶挂墙电视、热带雨林淋浴、高密度舒适床垫等。另外，拥有独特概念的La Muse咖啡吧、花园景观的Fusion西餐厅、多功能会议室、商务中心、游泳池、健身房等配套设施齐全，为宾客的入住和生活提供便利。,"牛扒,花螺,榴莲布丁,生蚝,鳕鱼扒,三文鱼,羊排,刺身寿司,蔬菜沙拉,三文鱼刺身,甜饼,山泉水炖汤,冷盘,椰皇炖乌鸡,舒芙蕾,小点心,芝士蛋糕,榴莲炖蛋,鲜虾,沙拉,现烤生蚝,雪花牛肉,焦糖布丁,雪花肥牛,热菜,榴莲蛋,牛羊肉,烤羊腿,赖尿虾,三文鱼寿司,原只椰子炖鸡,蟹柳,龙利鱼,蟹,哈密瓜,我的大爱蛋糕类,咖喱海鲜煲,炸虾,海参,泡菜,碳烤生蚝,骨汤,鱼生,煎牛排,龙虾,三文鱼拼八爪鱼,羊腿,提拉米苏,三文鱼腩,鲍鱼汁捞饭,健康烘焙,披萨,海鲜刺身,凉粉,牛肉粒,巴西烤肉,百叶,牛柳,乌鸡汤,烤虾,慕斯蛋糕,芝士焗生蚝,韩国泡菜,杨枝甘露,酸奶,法国鹅肝,炸鸡炸薯条,毛蟹,带子,椒盐皮皮虾,烤羊排,牛排羊排,奶茶,冷菜,巧克力酱,鸡排,爬爬虾,好！,韩国风味,海鲜比较新鲜,茶树菇炖肉汤 非常美味,各式菜,新设韩国菜,红枣糕,饮品,生滚粥,烤肥牛,长脚蟹,鳗鱼饭,海鲜粥,鲜榨果汁,清蒸大闸蟹,鱼生沙拉,酥皮鱼翅汤,大闸蟹,河粉,凯撒沙拉,哈根达斯雪糕,煎鳕鱼,鸡扒羊扒,翡翠螺,榴莲雪糕,炸薯条,绿茶蛋糕,馒头,冷面,生蚝扇贝,三文鱼片,咖喱虾,酥皮海鲜汤,萝卜牛腩,烤玉米,巧克力喷泉"
绝味鸭脖(天佑城店),熟食,3.6,顺德,容桂,22.76014,113.27139,顺德区振华路乐购外广场2号铺（乐购超市门口处）,每满20减3.1（买单立享）;1.2元鸭翅，9.9元绝味小吃，16.8元绝味拼盘，16.9元绝味小吃;16.9代20元;,周一至周日 08:00-23:00,0757-63315308,69168,,"鸭翅,鸭脖,鸭脚,鸭脖子,绝味鸭脖,鸭锁骨,鸭肠子,鸭翅膀,辣鸭架,鸭舌头,鸭骨架,鸭中翅,海带结,绝味鸭舌,冰可乐,鸭掌,鸡锁骨,甜点,腐竹结,绝味鸭脖子"
保利洲际酒店月色西餐厅,自助餐,3.4,南海,千灯湖/保利水城,23.05674,113.14804,南海区桂城灯湖东路20号保利洲际酒店1楼,单人午餐148元，单人晚餐238元，单人晚餐268元，[4]人晚餐890元，[4]人晚餐1008元;,17:30-22:00,0757-86268888,68650,OleOle巴西餐厅位于酒店六楼，采用双层的空间设计概念，足够的挑高与空间感带来舒适的用餐环境，室内的贵族派装饰风格和千灯湖的优美景致相融合，彰显高贵品位。开放式烤架，大厨们现场烤炙令人垂涎的巴西烤肉。精心设置的沙拉吧和甜品吧，为您的健康提供更多关爱。,"哈根达斯,三文鱼,龙虾,虾,海鲜,小蛋糕,海鲜刺身,烤龙虾,鸡扒,哈根达斯冰激凌,美式芝士蛋糕,酸奶芝士蛋糕,芝士龙虾,铁板牛扒,牛排,沙律,大龙虾,薄饼,小糕点,日式料理,煎鱼,甜品,西瓜汁,生蚝,芝士,蟹脚,提拉米苏,龙俐鱼,花蟹,小点心,水果,羊肉,扒类,布丁,北极贝寿司鱼生,水果沙拉,贝壳,talk意大利雪糕,帕尔玛火腿,奇异果,老火汤,八爪鱼刺身,三文鱼生,牛排鸡排,雪糕哈根达斯,冻虾,棉花糖巧克力,希鲮鱼,各式甜品,刺身,葡挞,菜款,鱼肉,蟹钳,火龙果,棉花糖,三文鱼寿司,麻辣烫,奶油蘑菇汤,焦糖布丁,小龙虾,鲜榨果汁,波士顿龙虾,蛋挞,披萨,猪手,牛腩面,白粥小菜,饼干,羊扒,鲷鱼鱼生,心太软,咖喱鱼,芒果慕斯,寿司,秋刀鱼,马卡龙,柠檬茶,法式煎饼,热巧克力,冰虾蟹钳,水果蛋糕,普洱茶,菊花茶,可乐,龙虾仔,咖喱羊肉,小点,炒雪糕,广式点心,烟熏三文鱼,八爪鱼,绿茶,奶茶,白切鸡,拉面,巧克力喷泉,印度飞饼,榴莲,带子,烧生蚝,煎牛扒,奶油汤,炒米粉,柠檬红茶,沙虾,摩卡,荔枝,桃子,果汁,冰红茶,双皮奶,吞拿鱼,铁板烧,猪扒,火腿肠,鱼片,鸡排,鱼扒,铁观音,巧克力喷泉甜点,手工面,西冷牛排,芒果布丁,焦糖炖蛋,花甲,三文鱼腩,刺生,焗龙虾,芝士焗龙虾,巴西烤肉,牛肉干,印度薄饼,天妇罗,热食,主食,海鲜类,刺身类,闪电泡芙,三位鱼头"
日日城素食(大良店),素食,4.1,顺德,大良,22.840572,113.268488,顺德区大良太艮路宏景楼6-13号（碧溪路口）,单人午/晚餐18.9元;,周一至周日 09:00-13:00 17:00-21:00,0757-22221396,67712,,"水果沙拉,蔬菜拼盘,大杂烩,麻辣烫,炸春卷,芋头糕,水晶糕,核桃包,素饺子,八宝粥,凉拌海带,萝卜糕,豆浆,煎饺子,烧茄子,油炸春卷,粥,酱萝卜,蔬菜饼,凉粉,椰汁糕,凉拌青瓜,包,豆腐花,虎皮尖椒,凉茶,柠檬茶,菠萝,豆角,茄子豆角,红豆糕,冬菇菜心,金针菇浓汤,炸云吞,大白菜,绿豆粥,豆腐泡,豆腐干,莲藕,五谷杂粮,麻辣汤,红枣糕,南瓜粥,素叉烧包,玉米饼,桂花糕,炸茶树菇,炸地瓜,凉拌雪耳,黑芝麻糊,炸金针菇,土豆丝,炸薯条"
雅达利超级牛扒(南海万科广场店),西餐,3.9,南海,南海万科广场,23.037534,113.154223,南海区桂澜中路南海万科广场三楼m-327号,单人餐68元，双人餐149.9元起，3人餐188元;,"11:00-14:30,17:00-21:00",0757-86328533,67472,,"果木烧牛肋扒,果木烧纽西兰牛扒,果木烧肥牛扒,泰式咖喱海鲜焗饭,果木烧牛肋条,芝士菠菜薯泥,果木烧美式黑椒猪肋条,红豆椰汁布丁,炒饭,西多士,自助水果,羊扒,布丁,杂菜,儿童套餐,羊小腿,果木烧美式黑椒猪,果木烧特爽梅花猪,牛排,水果,海鲜野菌汤,果木特爽猪肉眼扒,牛筋饭,蟹子焗饭,原味奶茶,超级牛扒、超级羊扒,肉眼扒,培根焗饭,咖喱海鲜饭,芒果布丁,菠菜薯泥,沙拉自助的,苏皮汤,玉米,樱花虾特色炒饭,味道不错,，,寿司,菠菜忌廉汤,芝士番茄牛肉焗饭,还行,牛肋,猪柳条,原只鱿鱼,肉酱面,可以,薯饼,石烧,牛肋条,西冷牛排,雪球,羊仔腿,西兰扒,正！,还可以啦,果木羊腿扒,芝士焗饭,西冷扒,葡式杂菜汇,果木烧西冷扒,芝士肉酱焗饭,牛滑爽,蟹子寿司卷,烧烤,分子雪糕,意面,蔬菜水果沙拉,石锅黑椒牛肉粒饭,肉酱焗饭,日本轻芝士蛋糕,肉酱培根芝士焗饭,小吃,热奶茶,芒果三文鱼寿司,果木牛仔扒,羊扒➕牛仔扒,凍檸茶,就是奶茶,巧克力,哈密瓜,各种寿司,紫薯三文鱼焗饭,石锅牛肉粒,三文鱼包,甜品布丁,蓝莓慕斯,银雪鱼,炒意面,海鲜拉面,芝士焗牛肉饭,冰激凌,三文鱼寿司卷,鸡翅中,柚子茶,水果面包,芝士焗南瓜,虾兵蟹将,果木牛排,蒜味面包,蒜蓉法包,冰淇淋,水果蔬菜沙拉,忌廉汤,煲仔饭,切片蛋糕,柠檬茶,秋葵沙拉,羊仔骨,黑椒肥牛焗饭,小蛋糕,沙拉水果,蘑菇汤,牛排羊排,小羊扒,水果布丁,鳗鱼芝麻卷,香芒三文鱼寿司,沙拉面包,牛肩扒,火龙果,面包片,韩式石锅饭,南瓜焗饭,菌汤,小面包片,意大利粉,牛仔肉,南瓜忌廉汤,椰汁布丁,蔬菜沙拉,面包干,法式蒜蓉面包,大骨头,寿司卷,鳗鱼寿司,炒牛肉,扬州炒饭,咖喱杂菜,超级肥牛,鹅肝酱雪花牛肉,三文鱼卷,秋葵,生牛肉,石锅牛腩饭,香浓芝士,玉米汤,牛肉石锅饭,南瓜汤,泡菜粉,热红枣茶,芝士南瓜牛肉饭,扒羊排,红豆芒果布丁,牛排肉,芒果蛋糕,小番茄,果木烧牛仔骨,法式烤面包,榴莲比萨,芥兰,黑椒牛肉饭,三文鱼扒,猪肋扒,肉眼排,苹果醋,肉酱米线,羊腿排,乌冬面,水果沙律,水果盘,韩式石烧牛爽筋饭,德国粒粒板肠,法国面包,牛肋骨,果木牛肋条,肉沫意面,面包沙拉,鸡排焗饭,蒜香面包,罗宋汤,鸡肉饭,小布丁,牛排很嫩,酱牛肉,芒果寿司,法式面包,餐前面包,三文鱼炒饭,牛柳意粉,牛肉粉丝,泡菜牛肉饭,纽西兰嫩牛扒,日式芝士蛋糕,美味牛排,烧排骨,西冷牛扒,法式小面包,双人牛排套餐,墨汁意粉,蒜香包,法式蒜香包,奇异果,咖喱炒饭,芝士南瓜鸡肉焗饭,蒜蓉面包,芥末芥兰,芝士丸"
